day_date;category;amount_cents;details;id
"2019-03-15";"Transportation";3,51;"Detail 878";1170
"2019-03-16";"Food";17,95;"Detail 879";1171
"2019-03-17";"Utilities";23,23;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1172
"2019-03-18";"Insurance";11,93;"Detail 880";1173
"2019-03-19";"Health";5,95;"Detail 881";1174
"2019-03-20";"Saving";0,14;"Detail 882";1175
"2019-03-21";"Other";22,64;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1176
"2019-03-22";"Housing";10,26;"Detail 883";1177
"2019-03-23";"Transportation";6,91;"Detail 884";1178
"2019-03-24";"Food";0,22;"Detail 885";1179
"2019-03-25";"Utilities";19,92;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1180
"2019-03-26";"Insurance";27,63;"Detail 886";1181
"2019-03-27";"Health";22,51;"Detail 887";1182
"2019-03-28";"Saving";15,06;"Detail 888";1183
"2019-03-29";"Other";6,1;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1184
"2019-03-30";"Housing";26,98;"Detail 889";1185
"2019-03-31";"Transportation";8,29;"Detail 890";1186
"2019-04-01";"Food";4,24;"Detail 891";1187
"2019-04-02";"Utilities";11,19;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1188
"2019-04-03";"Insurance";23,17;"Detail 892";1189
"2019-04-04";"Health";23,67;"Detail 893";1190
"2019-04-05";"Saving";22,84;"Detail 894";1191
"2019-04-06";"Other";3,02;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1192
"2019-04-07";"Housing";17,1;"Detail 895";1193
"2019-04-08";"Transportation";9,29;"Detail 896";1194
"2019-04-09";"Food";16,65;"Detail 897";1195
"2019-04-10";"Utilities";29,74;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1196
"2019-04-11";"Insurance";15,42;"Detail 898";1197
"2019-04-12";"Health";11,63;"Detail 899";1198
"2019-04-13";"Saving";15,96;"Detail 900";1199
"2019-04-14";"Other";21,1;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1200
"2019-04-15";"Housing";8,52;"Detail 901";1201
"2019-04-16";"Transportation";25,12;"Detail 902";1202
"2019-04-17";"Food";18,64;"Detail 903";1203
"2019-04-18";"Utilities";8,22;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1204
"2019-04-19";"Insurance";28,66;"Detail 904";1205
"2019-04-20";"Health";5,23;"Detail 905";1206
"2019-04-21";"Saving";20,44;"Detail 906";1207
"2019-04-22";"Other";18,87;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1208
"2019-04-23";"Housing";9,04;"Detail 907";1209
"2019-04-24";"Transportation";22,14;"Detail 908";1210
"2019-04-25";"Food";20,16;"Detail 909";1211
"2019-04-26";"Utilities";12,36;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1212
"2019-04-27";"Insurance";11,6;"Detail 910";1213
"2019-04-28";"Health";28,74;"Detail 911";1214
"2019-04-29";"Saving";16,42;"Detail 912";1215
"2019-04-30";"Other";9,69;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1216
"2019-05-01";"Housing";8,68;"Detail 913";1217
"2019-05-02";"Transportation";14,19;"Detail 914";1218
"2019-05-03";"Food";21,03;"Detail 915";1219
"2019-05-04";"Utilities";1,9;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1220
"2019-05-05";"Insurance";11,95;"Detail 916";1221
"2019-05-06";"Health";18,37;"Detail 917";1222
"2019-05-07";"Saving";6,42;"Detail 918";1223
"2019-05-08";"Other";25,93;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1224
"2019-05-09";"Housing";11,74;"Detail 919";1225
"2019-05-10";"Transportation";10,28;"Detail 920";1226
"2019-05-11";"Food";17,37;"Detail 921";1227
"2019-05-12";"Utilities";8,48;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1228
"2019-05-13";"Insurance";7,56;"Detail 922";1229
"2019-05-14";"Health";11;"Detail 923";1230
"2019-05-15";"Saving";23,27;"Detail 924";1231
"2019-05-16";"Other";2,98;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1232
"2019-05-17";"Housing";29,84;"Detail 925";1233
"2019-05-18";"Transportation";4,84;"Detail 926";1234
"2019-05-19";"Food";16,35;"Detail 927";1235
"2019-05-20";"Utilities";13,8;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1236
"2019-05-21";"Insurance";20,29;"Detail 928";1237
"2019-05-22";"Health";14,34;"Detail 929";1238
"2019-05-23";"Saving";21,86;"Detail 930";1239
"2019-05-24";"Other";14,15;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1240
"2019-05-25";"Housing";27,38;"Detail 931";1241
"2019-05-26";"Transportation";10,59;"Detail 932";1242
"2019-05-27";"Food";28,88;"Detail 933";1243
"2019-05-28";"Utilities";9,43;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1244
"2019-05-29";"Insurance";19,18;"Detail 934";1245
"2019-05-30";"Health";3,92;"Detail 935";1246
"2019-05-31";"Saving";19,35;"Detail 936";1247
"2019-06-01";"Other";11,67;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1248
"2019-06-02";"Housing";10;"Detail 937";1249
"2019-06-03";"Transportation";6,45;"Detail 938";1250
"2019-06-04";"Food";14,24;"Detail 939";1251
"2019-06-05";"Utilities";3,53;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1252
"2019-06-06";"Insurance";12,04;"Detail 940";1253
"2019-06-07";"Health";25,25;"Detail 941";1254
"2019-06-08";"Saving";4,33;"Detail 942";1255
"2019-06-09";"Other";19,03;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1256
"2019-06-10";"Housing";29,46;"Detail 943";1257
"2019-06-11";"Transportation";3,24;"Detail 944";1258
"2019-06-12";"Food";26,26;"Detail 945";1259
"2019-06-13";"Utilities";11,08;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1260
"2019-06-14";"Insurance";0,83;"Detail 946";1261
"2019-06-15";"Health";24,09;"Detail 947";1262
"2019-06-16";"Saving";17,77;"Detail 948";1263
"2019-06-17";"Other";16,1;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1264
"2019-06-18";"Housing";4,35;"Detail 949";1265
"2019-06-19";"Transportation";14,01;"Detail 950";1266
"2019-06-20";"Food";15,24;"Detail 951";1267
"2019-06-21";"Utilities";0,32;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1268
"2019-06-22";"Insurance";4,09;"Detail 952";1269
"2019-06-23";"Health";9,85;"Detail 953";1270
"2019-06-24";"Saving";21,62;"Detail 954";1271
