day_date;category;amount_cents;details;id
"2017-08-02";"Utilities";18,34;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";580
"2017-08-03";"Insurance";17,15;"Detail 436";581
"2017-08-04";"Health";5,6;"Detail 437";582
"2017-08-05";"Saving";23,51;"Detail 438";583
"2017-08-06";"Other";27,46;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";584
"2017-08-07";"Housing";23,42;"Detail 439";585
"2017-08-08";"Transportation";5,77;"Detail 440";586
"2017-08-09";"Food";18,28;"Detail 441";587
"2017-08-10";"Utilities";18,99;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";588
"2017-08-11";"Insurance";26,91;"Detail 442";589
"2017-08-12";"Health";28,65;"Detail 443";590
"2017-08-13";"Saving";12,37;"Detail 444";591
"2017-08-14";"Other";21,45;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";592
"2017-08-15";"Housing";11,1;"Detail 445";593
"2017-08-16";"Transportation";14,24;"Detail 446";594
"2017-08-17";"Food";12,68;"Detail 447";595
"2017-08-18";"Utilities";29,78;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";596
"2017-08-19";"Insurance";11,47;"Detail 448";597
"2017-08-20";"Health";28,68;"Detail 449";598
"2017-08-21";"Saving";5,64;"Detail 450";599
"2017-08-22";"Other";8,29;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";600
"2017-08-23";"Housing";10,91;"Detail 451";601
"2017-08-24";"Transportation";4,93;"Detail 452";602
"2017-08-25";"Food";12,79;"Detail 453";603
"2017-08-26";"Utilities";27,35;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";604
"2017-08-27";"Insurance";11;"Detail 454";605
"2017-08-28";"Health";3,51;"Detail 455";606
"2017-08-29";"Saving";27,89;"Detail 456";607
"2017-08-30";"Other";17,95;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";608
"2017-08-31";"Housing";24,44;"Detail 457";609
"2017-09-01";"Transportation";10,49;"Detail 458";610
"2017-09-02";"Food";25,51;"Detail 459";611
"2017-09-03";"Utilities";7,83;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";612
"2017-09-04";"Insurance";0,29;"Detail 460";613
"2017-09-05";"Health";14,61;"Detail 461";614
"2017-09-06";"Saving";7,83;"Detail 462";615
"2017-09-07";"Other";2,13;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";616
"2017-09-08";"Housing";20,29;"Detail 463";617
"2017-09-09";"Transportation";16,23;"Detail 464";618
"2017-09-10";"Food";25,73;"Detail 465";619
"2017-09-11";"Utilities";28,76;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";620
"2017-09-12";"Insurance";20,28;"Detail 466";621
"2017-09-13";"Health";23,44;"Detail 467";622
"2017-09-14";"Saving";12,95;"Detail 468";623
"2017-09-15";"Other";17,26;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";624
"2017-09-16";"Housing";10,71;"Detail 469";625
"2017-09-17";"Transportation";1,48;"Detail 470";626
"2017-09-18";"Food";7,37;"Detail 471";627
"2017-09-19";"Utilities";19,72;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";628
"2017-09-20";"Insurance";9,05;"Detail 472";629
"2017-09-21";"Health";24,74;"Detail 473";630
"2017-09-22";"Saving";29,64;"Detail 474";631
"2017-09-23";"Other";6,54;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";632
"2017-09-24";"Housing";27,74;"Detail 475";633
"2017-09-25";"Transportation";6,41;"Detail 476";634
"2017-09-26";"Food";20,6;"Detail 477";635
